Date,COST,PYPL,EBAY,DIS,ATVI,AMZN,COST Pos,PYPL Pos,EBAY Pos,DIS Pos,ATVI Pos,AMZN Pos,Total Pos,Daily return,Cumulative return
18/12/19,278.1670391,107.83,34.11282069,146.26,58.01170186,88.98717636,3312.6509899039866,5171.702637889687,2281.4227972422877,2509.021428855172,2687.120382304746,4667.865011467958,20629.783247663836,-0.004660179874727222,1.0629783247663838
19/12/19,279.9206532,108.88,34.49568064,146.15,58.11982262,89.39868525,3333.5345262966152,5222.062350119903,2307.0279920169637,2507.1344306521496,2692.1285701122233,4689.4509076398745,20751.33877683773,0.005892234916605732,1.0751338776837733
20/12/19,280.9880705,108.75,34.63925311,146.88,58.20828505,89.11037963,3346.2462443597115,5215.827338129496,2316.629939305081,2519.6572369085716,2696.2261778551383,4674.327698080294,20768.91463463829,0.0008469746453265703,1.0768914634638294
23/12/19,279.5394327,108.61,34.65839611,144.68,57.88392278,89.43459875,3328.99462656305,5209.112709832133,2317.910199211012,2481.917272848122,2681.2016148959083,4691.334767505381,20710.471190855606,-0.0028139864220547706,1.071047119085561
24/12/19,280.4162398,108.69,34.65839611,145.29,57.8052895,89.24555406,3339.4363953548072,5212.949640287769,2317.910199211012,2492.3815356103373,2677.5592964904704,4681.41833763143,20721.655404585825,0.0005400270050426315,1.0721655404585828
26/12/19,281.8458165,109.75,34.6966821,145.7,57.88392278,93.21399616,3356.461017271626,5263.78896882494,2320.4707183540854,2499.4148925488757,2681.2016148959083,4889.584871129318,21010.92208302475,0.013959631737477274,1.1010922083024752
27/12/19,280.3018737,109.4,34.52439513,145.75,58.17879757,93.26537242,3338.0744260301794,5247.002398081535,2308.948381207072,2500.2726190047956,2694.860308453099,4892.279837486089,20981.43797026277,-0.0014032755271508046,1.0981437970262773
30/12/19,281.2835163,107.97,34.26596467,143.77,57.87409362,92.1226247,3349.7646656111992,5178.41726618705,2291.6648751521584,2466.306651350391,2680.7463250952287,4832.33645780694,20799.23624120297,-0.008683948608195435,1.0799236241202972
31/12/19,280.1207939,108.17,34.56268112,144.63,58.40486825,92.17001057,3335.9179729124335,5188.009592326139,2311.508900350146,2481.0595463922027,2705.331973868734,4834.822106342592,20856.65009219225,0.0027603826565296696,1.0856650092192255
02/01/20,277.8048796,110.75,34.7445396,148.2,57.64802294,94.67248342,3308.338084859378,5311.750599520384,2323.6713681189126,2542.3012153448417,2670.2746596795937,4966.090519798108,21122.426447321217,0.012743003020818877,1.112242644732122
03/01/20,278.0336119,108.76,34.41910865,146.5,57.66768126,93.52325132,3311.0620246995168,5216.306954436451,2301.906953062028,2513.138515843585,2671.1852392809533,4905.806998856352,20919.406686178885,-0.009611573824089614,1.0919406686178887
06/01/20,278.109856,110.17,34.24682167,145.65,58.71940137,94.91539837,3311.97000464623,5283.932853717026,2290.3846152462274,2498.557166092957,2719.901247490487,4978.832739994874,21083.5786271878,0.007847829695733166,1.1083578627187802
07/01/20,277.6714525,109.67,34.0936777,145.7,59.30915097,95.11392023,3306.749120845794,5259.952038369304,2280.1425380051446,2499.4148925488757,2747.2186355312742,4989.246299366133,21082.723524666526,-4.0557750484060406e-05,1.1082723524666531
08/01/20,280.8546433,111.82,34.0745347,145.4,58.85700961,94.37120903,3344.657279155243,5363.069544364507,2278.8622780992137,2494.26853381336,2726.275304700004,4950.287027188757,21157.419967321082,0.0035430167533698764,1.1157419967321087
09/01/20,285.3625753,112.57,33.67253176,144.83,58.32623497,94.82411821,3398.3415885922477,5399.040767386091,2251.9768240873946,2484.49045221588,2701.689655463296,4974.044595426924,21209.583883171832,0.0024655140339095993,1.1209583883171836
10/01/20,283.2849238,112.93,33.39495831,144.62,57.94289774,93.93176742,3373.59913772381,5416.306954436451,2233.4130587953377,2480.888001101019,2683.9333536999875,4927.235906793569,21115.376412550173,-0.0044417406367130985,1.1115376412550177
13/01/20,285.7914483,115.28,33.24181433,143.88,58.22794337,94.33778952,3403.448975048205,5529.016786570743,2223.1709808854675,2468.1936495534133,2697.136757456498,4948.53399076474,21269.501140279066,0.007299170268983968,1.126950114027907
14/01/20,285.6770821,114.64,33.83524724,145.2,59.02410533,93.24741567,3402.087004532693,5498.321342925659,2262.859031950231,2490.8376279896825,2734.0152313115605,4891.337907553334,21279.45814626316,0.000468135379312562,1.1279458146263166
15/01/20,286.6968469,114.85,33.81610424,144.32,58.62110977,92.87730706,3414.2312358733975,5508.3932853717015,2261.5787720443,2475.741642365503,2715.348349483689,4871.923682923115,21247.216968061708,-0.0015151315404671184,1.124721696806171
16/01/20,288.8030899,115.4,34.38082265,145.12,59.39761341,93.67139452,3439.3141787752697,5534.772182254196,2299.3464332501667,2489.465265660212,2751.316243737392,4913.577921457259,21427.792225134493,0.008498772208342498,1.1427792225134499
17/01/20,290.3756243,116.04,34.28510767,144.33,60.19377536,93.0119827,3458.0412632410375,5565.46762589928,2292.945135058089,2475.913187656687,2788.1947171292513,4878.988158205597,21459.550087189942,0.0014820874554775099,1.1459550087189947
